LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,GrLivArea,GarageCars,GarageArea,Neighborhood,HouseStyle,RoofStyle,Exterior,Heating,SaleCondition,SalePrice
10666.0,3,3,1956,2484.0,1181,3,434.0,NAmes,2Story,Flat,Wd Sdng,GasA,Abnorml,142074
4747.0,5,7,1986,2127.0,3939,3,165.0,OldTown,SLvl,Hip,Wd Sdng,GasW,Partial,372594
2189.0,8,1,1974,688.0,3568,2,426.0,CollgCr,1Story,Hip,Wd Sdng,GasA,Normal,369195
5005.0,2,7,1990,575.0,3728,2,47.0,Edwards,2Story,Hip,HdBoard,GasA,Abnorml,218620
3899.0,5,1,2011,899.0,3281,1,41.0,Somerst,2Story,Gable,VinylSd,GasW,Partial,274257
3267.0,6,1,1990,2335.0,2395,2,184.0,OldTown,1Story,Flat,Wd Sdng,Grav,Partial,292406
19912.0,8,2,1963,1136.0,2103,0,821.0,CollgCr,2Story,Hip,MetalSd,GasA,Abnorml,240763
13394.0,8,2,2003,1905.0,660,0,864.0,Somerst,1.5Fin,Hip,HdBoard,GasA,Normal,195344
5556.0,5,4,1951,719.0,673,2,231.0,,SLvl,Flat,HdBoard,Grav,Partial,157104
5890.0,9,1,1997,225.0,3452,0,400.0,CollgCr,2Story,Gable,Wd Sdng,GasA,Partial,351850
10838.0,4,4,2000,1356.0,2022,1,690.0,Somerst,1.5Fin,Flat,MetalSd,GasA,Normal,187375
16502.0,9,2,2004,1440.0,1859,2,136.0,NAmes,1Story,Gable,VinylSd,Grav,Abnorml,313013
12627.0,7,4,1961,2325.0,2573,0,723.0,Edwards,2Story,Hip,MetalSd,GasW,Abnorml,264197
,6,4,2018,2942.0,2289,3,519.0,Edwards,2Story,Flat,Wd Sdng,GasW,Abnorml,292587
12555.0,4,9,1950,2839.0,3870,1,232.0,NAmes,1Story,Gable,Wd Sdng,GasA,Abnorml,281147
12253.0,2,9,2008,544.0,2984,2,,Edwards,1Story,Flat,HdBoard,GasA,Partial,241571
10433.0,8,1,1983,2525.0,2318,2,367.0,Edwards,SLvl,Hip,HdBoard,GasW,Abnorml,306159
12233.0,6,5,1995,2017.0,3306,2,621.0,OldTown,1.5Fin,Gable,MetalSd,GasW,Normal,291153
,3,7,2008,,2558,3,951.0,CollgCr,1Story,Hip,VinylSd,GasA,Partial,215778
4612.0,7,4,2015,1051.0,3809,0,581.0,NAmes,1.5Fin,Flat,MetalSd,Grav,Abnorml,307291
17787.0,7,5,1968,608.0,3166,2,392.0,CollgCr,1Story,Hip,MetalSd,Grav,Abnorml,306279
19159.0,6,2,1977,86.0,1933,0,970.0,Edwards,1.5Fin,Flat,MetalSd,GasW,Abnorml,190385
14206.0,2,3,1989,2167.0,3905,1,501.0,CollgCr,1Story,Flat,VinylSd,GasW,Normal,228529
10226.0,8,7,2006,712.0,3884,3,366.0,Somerst,1.5Fin,Hip,MetalSd,GasA,Normal,399090
16541.0,1,7,2000,2439.0,3572,3,110.0,NAmes,1.5Fin,Gable,Wd Sdng,Grav,Abnorml,258369
5152.0,1,4,1971,2400.0,1022,1,260.0,NAmes,2Story,Flat,Wd Sdng,Grav,Normal,59047
3585.0,6,1,2017,2062.0,2193,1,583.0,NAmes,1.5Fin,Flat,MetalSd,GasA,Abnorml,228558
5943.0,5,1,1957,2352.0,587,2,63.0,OldTown,2Story,Gable,HdBoard,Grav,Normal,175411
3021.0,9,4,2009,,2789,1,691.0,CollgCr,2Story,Gable,HdBoard,Grav,Partial,331291
13653.0,7,4,2014,2670.0,3556,3,802.0,CollgCr,1Story,Gable,VinylSd,Grav,Abnorml,328579
12805.0,2,6,1985,519.0,1655,0,499.0,OldTown,2Story,Hip,Wd Sdng,Grav,Normal,123505
15417.0,7,7,2020,1974.0,1097,0,59.0,NAmes,1.5Fin,Gable,VinylSd,Grav,Abnorml,202090
9989.0,3,9,1978,2900.0,2546,0,88.0,OldTown,SLvl,Flat,HdBoard,GasW,Partial,193585
11692.0,1,9,2014,2687.0,2145,0,355.0,OldTown,SLvl,Flat,MetalSd,GasA,Partial,172169
14990.0,8,5,2005,,3899,0,550.0,Edwards,1Story,Hip,VinylSd,GasW,Normal,339886
8873.0,3,3,1953,2952.0,2658,0,368.0,NAmes,1.5Fin,Hip,VinylSd,GasW,Partial,214902
7675.0,8,3,2021,13.0,2836,3,491.0,Somerst,2Story,Flat,VinylSd,Grav,Abnorml,346311
2161.0,7,6,1999,90.0,3988,1,645.0,Edwards,2Story,Flat,HdBoard,GasA,Partial,363766
6297.0,2,1,1988,3.0,2621,3,855.0,NAmes,SLvl,Flat,MetalSd,GasW,Abnorml,203020
2995.0,1,7,1984,795.0,2357,2,886.0,NAmes,2Story,Hip,VinylSd,Grav,Normal,154392
13534.0,7,3,1974,215.0,2655,0,404.0,NAmes,2Story,Flat,Wd Sdng,Grav,Partial,247732
9629.0,1,5,1993,1182.0,2214,1,931.0,CollgCr,1.5Fin,Flat,HdBoard,Grav,Partial,116339
3016.0,6,7,1996,1602.0,1300,1,17.0,NAmes,SLvl,Hip,HdBoard,GasA,Abnorml,213423
10529.0,8,7,1989,1757.0,3284,0,367.0,NAmes,1.5Fin,Flat,HdBoard,GasW,Partial,313472
19262.0,7,9,1980,703.0,3676,1,256.0,Somerst,1Story,Flat,VinylSd,GasW,Normal,389701
11268.0,4,1,2018,730.0,3953,0,220.0,NAmes,1Story,Gable,HdBoard,GasA,Partial,268178
14185.0,1,3,1992,2064.0,2119,2,272.0,OldTown,1.5Fin,Flat,HdBoard,GasA,Abnorml,169404
8331.0,1,9,2004,2542.0,2624,0,964.0,NAmes,1.5Fin,Gable,MetalSd,Grav,Partial,152302
10571.0,4,8,1965,1642.0,702,2,376.0,NAmes,SLvl,Hip,HdBoard,Grav,Abnorml,108594
9208.0,5,2,2017,1489.0,3398,1,246.0,NAmes,SLvl,Hip,VinylSd,GasW,Normal,257980
7276.0,7,8,2018,2491.0,1764,3,881.0,CollgCr,2Story,Gable,HdBoard,Grav,Abnorml,242989
18448.0,4,8,1991,1762.0,3347,1,389.0,Edwards,2Story,Flat,MetalSd,Grav,Normal,291728
18216.0,1,2,1990,1104.0,3254,3,569.0,CollgCr,1Story,Gable,HdBoard,GasA,Partial,253670
10006.0,7,8,1999,2826.0,3943,0,246.0,Somerst,1Story,Hip,VinylSd,GasW,Normal,375704
4568.0,2,3,1955,2213.0,3776,1,172.0,Somerst,1Story,Flat,Wd Sdng,Grav,Normal,199391
4027.0,2,7,2002,2404.0,2959,1,327.0,OldTown,SLvl,Flat,HdBoard,Grav,Partial,175563
4695.0,8,9,1966,2281.0,1737,2,122.0,OldTown,SLvl,Hip,VinylSd,Grav,Abnorml,288945
17422.0,5,4,2006,2222.0,2988,0,728.0,Somerst,1.5Fin,Gable,HdBoard,GasA,Partial,234048
7258.0,2,6,2016,1695.0,2054,3,466.0,Edwards,1Story,Gable,HdBoard,GasW,Partial,201585
8736.0,5,9,1965,1386.0,3783,0,635.0,Edwards,SLvl,Hip,VinylSd,GasA,Normal,280242
2391.0,8,5,2001,696.0,552,2,815.0,Somerst,1.5Fin,Flat,HdBoard,Grav,Normal,206645
15986.0,6,1,1983,1197.0,3659,2,689.0,NAmes,1.5Fin,Hip,VinylSd,GasW,Abnorml,296631
14666.0,3,3,1969,2285.0,1171,2,230.0,CollgCr,SLvl,Flat,Wd Sdng,Grav,Normal,137015
7892.0,8,9,2005,987.0,508,0,311.0,CollgCr,1Story,Gable,HdBoard,GasW,Partial,192813
5561.0,9,3,2000,1013.0,1190,2,648.0,NAmes,1.5Fin,Gable,Wd Sdng,GasA,Abnorml,249740
8184.0,5,2,2002,2959.0,582,0,475.0,Edwards,1.5Fin,Gable,VinylSd,GasA,Partial,130473
10392.0,2,4,1998,1261.0,1548,2,189.0,,1Story,Gable,HdBoard,Grav,Normal,126464
15067.0,2,5,1953,1641.0,724,1,500.0,CollgCr,1Story,Hip,HdBoard,Grav,Partial,75711
17265.0,7,7,1967,,2977,3,632.0,OldTown,1Story,Gable,HdBoard,Grav,Abnorml,319750
4454.0,1,7,1985,1255.0,1951,0,286.0,Edwards,1Story,Hip,MetalSd,GasA,Abnorml,126842
13837.0,2,9,1984,587.0,1717,3,320.0,Somerst,2Story,Hip,HdBoard,GasA,Normal,188014
16039.0,4,8,1979,1540.0,1641,0,872.0,Somerst,SLvl,Hip,MetalSd,GasW,Abnorml,198812
,1,2,2012,793.0,3382,0,,NAmes,SLvl,Flat,Wd Sdng,GasW,Normal,204685
11762.0,4,8,1970,2967.0,3442,1,137.0,CollgCr,2Story,Gable,VinylSd,GasW,Partial,274375
,5,8,2001,1259.0,2447,1,948.0,,2Story,Flat,MetalSd,GasA,Abnorml,272847
16948.0,9,5,2018,1567.0,3307,0,125.0,NAmes,SLvl,Flat,HdBoard,GasW,Abnorml,350840
10110.0,1,3,1990,2454.0,2520,2,703.0,OldTown,1Story,Hip,HdBoard,Grav,Abnorml,188287
15773.0,5,9,2003,2224.0,3542,0,191.0,Edwards,2Story,Gable,MetalSd,Grav,Abnorml,296228
19412.0,2,7,1979,2020.0,2625,0,945.0,CollgCr,1Story,Hip,MetalSd,GasA,Abnorml,174723
2502.0,9,1,2005,118.0,1675,1,213.0,CollgCr,2Story,Gable,MetalSd,GasA,Abnorml,277387
8910.0,6,8,1990,1213.0,1579,1,192.0,NAmes,1.5Fin,Flat,Wd Sdng,GasW,Partial,210619
14685.0,2,5,1963,613.0,2904,3,588.0,CollgCr,1Story,Flat,HdBoard,GasA,Partial,218743
2206.0,3,6,1970,2412.0,1782,3,653.0,Edwards,2Story,Hip,VinylSd,GasA,Partial,184177
19868.0,8,9,1974,485.0,1034,2,,Somerst,2Story,Gable,MetalSd,Grav,Normal,262940
17934.0,1,8,1999,1996.0,3221,3,742.0,NAmes,1Story,Hip,VinylSd,GasW,Partial,204114
19247.0,3,3,2002,1102.0,1070,3,382.0,Edwards,1.5Fin,Hip,MetalSd,GasA,Abnorml,161256
10755.0,1,5,1997,321.0,1077,3,155.0,CollgCr,SLvl,Flat,MetalSd,GasW,Abnorml,118375
14383.0,8,4,2019,138.0,2953,2,92.0,Somerst,2Story,Hip,Wd Sdng,GasA,Partial,309147
16820.0,1,1,1997,,2662,0,825.0,Edwards,1Story,Hip,MetalSd,GasW,Abnorml,169863
9574.0,5,5,1953,2380.0,2326,0,679.0,Somerst,2Story,Gable,VinylSd,Grav,Normal,189573
8374.0,4,7,1973,223.0,3021,2,703.0,,SLvl,Gable,HdBoard,Grav,Partial,246145
3678.0,7,1,1980,571.0,3301,0,608.0,NAmes,1.5Fin,Gable,HdBoard,Grav,Normal,303338
3059.0,5,4,1978,2823.0,3905,3,129.0,CollgCr,1Story,Hip,Wd Sdng,Grav,Partial,370049
18198.0,8,6,1954,1583.0,2339,3,426.0,OldTown,SLvl,Gable,HdBoard,Grav,Abnorml,332365
11914.0,1,9,2016,2640.0,3880,3,224.0,OldTown,2Story,Hip,HdBoard,GasW,Normal,265218
12817.0,5,8,2002,808.0,830,3,727.0,OldTown,SLvl,Gable,MetalSd,GasA,Abnorml,213533
12921.0,4,2,2013,986.0,2067,0,11.0,Edwards,SLvl,Gable,Wd Sdng,Grav,Partial,178064
11789.0,3,3,1984,1914.0,3272,2,871.0,OldTown,SLvl,Gable,VinylSd,GasA,Abnorml,293564
18312.0,5,5,1961,,1482,2,347.0,CollgCr,2Story,Hip,MetalSd,GasW,Normal,214171
13252.0,3,7,1996,1543.0,2027,2,802.0,OldTown,1Story,Flat,Wd Sdng,GasA,Partial,194020
4693.0,8,3,2004,2908.0,587,1,73.0,Somerst,SLvl,Flat,Wd Sdng,GasA,Partial,168415
15931.0,3,7,2018,1272.0,3455,2,110.0,Somerst,1.5Fin,Hip,HdBoard,GasA,Abnorml,282269
5627.0,1,5,1987,1779.0,1073,1,875.0,Somerst,2Story,Hip,HdBoard,GasA,Abnorml,99399
,9,6,1978,1700.0,2550,2,481.0,OldTown,1.5Fin,Flat,Wd Sdng,Grav,Normal,333049
12173.0,9,6,1961,2234.0,2297,3,888.0,CollgCr,1Story,Hip,MetalSd,Grav,Normal,329750
12230.0,6,4,1968,248.0,3954,2,196.0,CollgCr,2Story,Gable,MetalSd,GasA,Partial,387968
17707.0,1,8,1958,1817.0,1023,1,190.0,OldTown,SLvl,Flat,HdBoard,GasA,Partial,70212
13494.0,8,9,1978,,2088,3,936.0,CollgCr,2Story,Hip,MetalSd,GasW,Partial,316376
3306.0,2,2,1952,2293.0,1671,1,,OldTown,1.5Fin,Hip,HdBoard,GasW,Normal,139243
8776.0,9,9,1979,2974.0,3053,0,785.0,CollgCr,SLvl,Flat,VinylSd,GasA,Abnorml,346418
11474.0,8,4,2007,2062.0,3193,0,965.0,NAmes,1.5Fin,Hip,VinylSd,Grav,Abnorml,281202
9526.0,3,6,2002,825.0,583,0,,NAmes,1.5Fin,Flat,Wd Sdng,Grav,Partial,102601
7530.0,5,7,1953,2736.0,1921,3,493.0,CollgCr,1Story,Hip,MetalSd,Grav,Partial,273046
5748.0,9,4,2006,2774.0,2731,3,64.0,Somerst,1.5Fin,Hip,VinylSd,Grav,Abnorml,323505
,1,8,2003,536.0,2716,1,662.0,NAmes,2Story,Flat,HdBoard,GasA,Partial,151832
2663.0,9,8,1977,491.0,2655,3,259.0,Edwards,1Story,Flat,HdBoard,Grav,Partial,369055
3998.0,4,1,1965,1859.0,2740,2,774.0,OldTown,1Story,Gable,Wd Sdng,GasW,Normal,244323
9994.0,4,8,1962,2339.0,1351,1,168.0,Edwards,SLvl,Hip,VinylSd,Grav,Abnorml,176143
19879.0,4,3,2021,2164.0,3785,2,176.0,CollgCr,1Story,Hip,HdBoard,GasA,Abnorml,314137
5304.0,9,5,2005,591.0,1883,3,144.0,CollgCr,2Story,Flat,Wd Sdng,GasW,Normal,323653
15808.0,6,8,2002,,1618,2,586.0,Somerst,1.5Fin,Gable,VinylSd,GasW,Normal,266156
8585.0,8,6,1997,2791.0,1679,3,54.0,NAmes,1Story,Flat,MetalSd,GasW,Normal,303999
19675.0,4,4,1974,1492.0,771,3,633.0,NAmes,1Story,Hip,HdBoard,GasA,Abnorml,137036
13649.0,3,4,2015,947.0,2260,2,538.0,Edwards,2Story,Flat,Wd Sdng,Grav,Abnorml,217015
3636.0,1,4,1979,1575.0,3734,0,907.0,NAmes,2Story,Hip,VinylSd,GasW,Normal,206047
19082.0,7,6,1952,682.0,3103,3,686.0,CollgCr,SLvl,Hip,Wd Sdng,GasA,Abnorml,351101
6737.0,4,7,1972,628.0,2359,1,673.0,Somerst,SLvl,Flat,MetalSd,Grav,Abnorml,236312
16555.0,8,5,1978,1719.0,1405,1,135.0,OldTown,SLvl,Hip,MetalSd,GasW,Normal,277558
,3,8,1990,592.0,1237,0,371.0,Edwards,1.5Fin,Hip,VinylSd,Grav,Partial,123535
2854.0,1,7,1960,386.0,3312,2,22.0,Edwards,1.5Fin,Gable,MetalSd,GasA,Abnorml,232367
,5,8,1970,1606.0,3292,0,537.0,OldTown,SLvl,Gable,MetalSd,GasA,Partial,242995
9392.0,2,4,1973,651.0,3318,2,161.0,CollgCr,1.5Fin,Hip,VinylSd,GasA,Abnorml,226627
15949.0,3,8,2014,2240.0,1298,0,759.0,Edwards,2Story,Hip,Wd Sdng,GasW,Partial,113646
7791.0,6,6,1950,100.0,1703,3,159.0,NAmes,1Story,Hip,Wd Sdng,GasA,Partial,270832
6931.0,3,3,2003,1093.0,1746,1,517.0,NAmes,1Story,Gable,MetalSd,Grav,Abnorml,196844
2202.0,3,8,2021,,2663,0,704.0,NAmes,2Story,Hip,HdBoard,GasW,Abnorml,256935
,6,7,1983,2491.0,1460,1,376.0,Somerst,1.5Fin,Gable,HdBoard,Grav,Abnorml,225225
14688.0,5,5,2017,432.0,3576,2,314.0,OldTown,SLvl,Gable,VinylSd,GasA,Abnorml,331283
6389.0,9,4,1978,1238.0,3320,0,689.0,CollgCr,1Story,Hip,MetalSd,GasA,Partial,311391
4327.0,1,1,1952,536.0,565,0,707.0,NAmes,SLvl,Gable,VinylSd,Grav,Normal,12489
10004.0,3,3,1960,600.0,1026,0,216.0,NAmes,1Story,Hip,MetalSd,GasW,Abnorml,93923
9777.0,3,2,1957,1666.0,948,0,263.0,Somerst,2Story,Flat,MetalSd,GasA,Abnorml,82314
2197.0,6,8,2011,2755.0,3720,1,551.0,NAmes,1.5Fin,Flat,VinylSd,GasW,Normal,331234
3930.0,8,8,1982,318.0,2648,3,941.0,Somerst,1Story,Flat,HdBoard,GasA,Abnorml,372119
13774.0,3,5,1957,2272.0,3838,1,339.0,OldTown,1.5Fin,Flat,MetalSd,Grav,Abnorml,267139
17087.0,3,5,1974,2435.0,3277,3,461.0,Edwards,2Story,Hip,Wd Sdng,Grav,Abnorml,255735
11339.0,6,4,1975,845.0,3101,0,160.0,,2Story,Flat,MetalSd,GasW,Partial,281156
13589.0,8,1,1975,1862.0,565,3,313.0,NAmes,1.5Fin,Hip,HdBoard,GasW,Partial,218867
17708.0,6,1,1966,1527.0,1873,1,883.0,OldTown,1Story,Hip,Wd Sdng,GasW,Normal,217787
19043.0,3,6,1978,70.0,2351,0,,Edwards,1Story,Hip,Wd Sdng,GasA,Normal,173650
,4,4,1992,1152.0,619,1,78.0,Somerst,1Story,Hip,Wd Sdng,Grav,Normal,133710
16243.0,1,4,1954,443.0,2792,1,666.0,Edwards,SLvl,Hip,HdBoard,GasA,Partial,141265
8546.0,8,3,1999,598.0,888,1,466.0,,SLvl,Gable,Wd Sdng,GasW,Abnorml,178807
3986.0,4,9,2005,386.0,786,3,64.0,OldTown,1.5Fin,Flat,MetalSd,GasA,Partial,147109
10338.0,6,3,2012,2065.0,3619,0,568.0,CollgCr,1.5Fin,Gable,MetalSd,GasW,Abnorml,311396
,3,8,2006,1578.0,3347,0,418.0,OldTown,1Story,Gable,MetalSd,GasA,Abnorml,202046
4911.0,6,2,1994,1099.0,3372,1,947.0,Somerst,2Story,Flat,HdBoard,GasA,Partial,340285
3734.0,9,4,1986,,2290,2,992.0,Somerst,SLvl,Hip,MetalSd,GasW,Abnorml,341541
10680.0,9,1,2021,552.0,917,1,946.0,NAmes,2Story,Hip,MetalSd,GasA,Partial,254235
7759.0,3,5,1985,2011.0,3517,3,784.0,OldTown,1Story,Flat,MetalSd,GasW,Partial,297954
4385.0,3,2,1982,2921.0,850,3,972.0,CollgCr,1.5Fin,Flat,HdBoard,Grav,Partial,156030
13111.0,4,1,1955,1388.0,2702,0,51.0,OldTown,1Story,Flat,Wd Sdng,GasW,Normal,225239
,7,1,2020,279.0,1861,2,943.0,Somerst,2Story,Gable,MetalSd,GasW,Abnorml,287889
3802.0,3,2,1994,770.0,3832,3,825.0,OldTown,2Story,Gable,HdBoard,Grav,Normal,316600
10155.0,8,5,1956,1466.0,2052,0,587.0,NAmes,SLvl,Flat,Wd Sdng,GasA,Normal,268608
10120.0,8,9,2014,953.0,2750,2,614.0,Somerst,SLvl,Flat,Wd Sdng,GasW,Abnorml,365970
8616.0,6,6,1973,328.0,1464,2,25.0,OldTown,SLvl,Flat,VinylSd,GasA,Partial,224749
16257.0,4,4,1994,1559.0,2408,0,26.0,OldTown,SLvl,Flat,MetalSd,GasA,Normal,191299
16486.0,5,3,2010,2555.0,2987,3,279.0,NAmes,2Story,Gable,Wd Sdng,GasW,Normal,264686
18646.0,2,8,1968,2497.0,3737,1,503.0,NAmes,SLvl,Flat,VinylSd,GasW,Partial,227401
16075.0,6,3,1981,2886.0,2926,3,336.0,OldTown,1Story,Flat,Wd Sdng,GasW,Partial,335346
11208.0,3,1,1979,2440.0,547,3,138.0,CollgCr,1Story,Flat,HdBoard,GasW,Partial,131667
18371.0,6,4,2014,108.0,2776,3,597.0,Somerst,2Story,Flat,MetalSd,Grav,Abnorml,313386
13835.0,5,5,1981,358.0,2251,0,391.0,,2Story,Hip,Wd Sdng,GasW,Abnorml,214166
15168.0,2,5,2006,955.0,1489,0,233.0,NAmes,2Story,Hip,HdBoard,Grav,Partial,90393
4049.0,5,5,1969,2982.0,2499,1,431.0,Somerst,2Story,Flat,HdBoard,GasW,Abnorml,234189
7423.0,5,8,1979,317.0,2340,3,287.0,NAmes,1.5Fin,Gable,MetalSd,GasA,Partial,245318
16589.0,9,8,2008,340.0,3228,3,28.0,Somerst,1Story,Hip,Wd Sdng,GasW,Partial,377699
9158.0,8,4,2011,1340.0,3593,1,105.0,,1.5Fin,Gable,MetalSd,GasA,Abnorml,336897
12248.0,7,9,2016,348.0,1798,2,607.0,Edwards,2Story,Hip,HdBoard,Grav,Abnorml,269539
9400.0,3,1,1980,2074.0,3684,2,503.0,Edwards,2Story,Hip,VinylSd,GasA,Partial,290448
,4,5,2015,,2392,1,632.0,,SLvl,Flat,Wd Sdng,Grav,Abnorml,215300
17151.0,6,5,2003,400.0,1397,3,615.0,NAmes,1.5Fin,Flat,Wd Sdng,GasW,Normal,195058
3154.0,3,5,1959,,2238,0,900.0,NAmes,1.5Fin,Flat,MetalSd,GasW,Normal,144846
6499.0,9,8,1987,1582.0,2068,3,176.0,NAmes,1.5Fin,Gable,Wd Sdng,GasA,Normal,341318
8295.0,8,9,1980,367.0,1468,1,652.0,,SLvl,Gable,HdBoard,GasA,Partial,233288
14183.0,6,3,1978,2390.0,3502,1,383.0,Somerst,2Story,Gable,Wd Sdng,GasA,Normal,295009
14874.0,4,9,1974,2740.0,3660,1,856.0,OldTown,1Story,Flat,MetalSd,GasA,Partial,279378
7539.0,7,8,1981,1388.0,1145,0,297.0,Edwards,1Story,Hip,MetalSd,Grav,Abnorml,181510
11637.0,3,3,1966,903.0,510,3,265.0,Edwards,1.5Fin,Hip,HdBoard,Grav,Abnorml,88070
17586.0,8,2,1994,1096.0,3598,0,153.0,NAmes,SLvl,Hip,HdBoard,GasA,Normal,321412
4557.0,1,4,1998,185.0,3003,2,793.0,NAmes,SLvl,Flat,VinylSd,GasW,Partial,192075
7592.0,3,2,1967,2883.0,2464,3,724.0,Somerst,1.5Fin,Hip,MetalSd,GasA,Partial,217103
18482.0,5,4,2001,2366.0,1554,1,918.0,Edwards,1.5Fin,Hip,VinylSd,Grav,Normal,206722
4200.0,5,5,1969,593.0,3150,3,939.0,Somerst,2Story,Gable,VinylSd,Grav,Normal,304274
,2,2,2011,1565.0,1970,1,75.0,Edwards,1.5Fin,Gable,Wd Sdng,GasW,Abnorml,153858
4961.0,8,8,1962,792.0,3999,0,550.0,CollgCr,2Story,Flat,VinylSd,Grav,Abnorml,383087
16207.0,5,1,1992,2400.0,1464,3,170.0,Somerst,SLvl,Hip,VinylSd,GasA,Abnorml,186999
13969.0,7,3,1970,354.0,3138,1,563.0,CollgCr,1Story,Flat,VinylSd,Grav,Normal,343193
4869.0,7,7,1955,105.0,3061,0,759.0,OldTown,2Story,Gable,VinylSd,GasA,Abnorml,326078
19340.0,5,1,2020,417.0,898,3,634.0,Edwards,1.5Fin,Hip,VinylSd,GasW,Abnorml,187587
15992.0,8,2,2002,641.0,886,3,825.0,CollgCr,2Story,Hip,HdBoard,Grav,Partial,241443
7699.0,9,3,2001,2252.0,3165,2,728.0,OldTown,SLvl,Gable,VinylSd,GasW,Abnorml,395104
5987.0,4,2,2018,564.0,1853,3,843.0,Somerst,SLvl,Hip,HdBoard,GasA,Abnorml,212373
15446.0,4,2,1958,1302.0,637,2,99.0,CollgCr,2Story,Flat,HdBoard,GasW,Partial,148917
3218.0,8,6,1995,2236.0,3200,3,927.0,CollgCr,2Story,Hip,Wd Sdng,GasA,Abnorml,370563
6735.0,1,7,2020,1750.0,2248,2,273.0,OldTown,2Story,Gable,HdBoard,GasA,Partial,172183
13296.0,4,6,1979,2590.0,981,0,297.0,CollgCr,2Story,Gable,HdBoard,Grav,Abnorml,107051
6555.0,6,6,1992,257.0,799,3,211.0,OldTown,SLvl,Flat,HdBoard,Grav,Abnorml,213745
11146.0,4,9,2008,2500.0,531,0,1.0,Edwards,SLvl,Flat,MetalSd,Grav,Abnorml,88907
10050.0,6,8,1987,1595.0,3004,3,955.0,Edwards,2Story,Gable,HdBoard,GasA,Abnorml,303221
14757.0,5,8,1983,2125.0,1041,3,288.0,Edwards,1Story,Flat,MetalSd,GasA,Abnorml,215620
19429.0,9,6,1995,1046.0,3956,3,685.0,CollgCr,SLvl,Gable,MetalSd,GasA,Normal,412732
8893.0,9,5,1981,2550.0,2344,3,208.0,CollgCr,SLvl,Flat,Wd Sdng,GasW,Normal,329441
16373.0,4,9,1965,2232.0,3903,3,570.0,NAmes,1Story,Gable,HdBoard,GasA,Normal,324225
16565.0,4,2,1988,2594.0,2591,3,611.0,NAmes,1Story,Flat,HdBoard,Grav,Normal,281481
5436.0,8,7,1950,1640.0,1046,1,989.0,OldTown,1.5Fin,Flat,HdBoard,Grav,Normal,275398
10754.0,4,6,2006,1711.0,1483,3,696.0,CollgCr,1Story,Flat,Wd Sdng,GasW,Abnorml,221997
,2,7,1969,48.0,2971,2,445.0,OldTown,1.5Fin,Flat,MetalSd,Grav,Partial,241133
7895.0,2,4,1991,167.0,544,3,190.0,Somerst,1Story,Hip,MetalSd,GasA,Partial,111722
18609.0,1,9,2021,1853.0,2479,0,840.0,CollgCr,2Story,Gable,Wd Sdng,GasA,Abnorml,195140
